time,initialValue,baleNumber,rxThrottle,outputThrottle,rpm,voltage,busbarCurrent,phaseWireCurrent,mosfetTemp,capacitorTemp,statusCode,verifyCode
1666879825.426749,18258690,7185,11.71875,11.71875,907,2520,4,29,30.922399999999996,1.0879999999999939,0,15365
1666879825.4587677,18258690,7186,11.71875,11.71875,906,2520,3,29,30.922399999999996,1.0879999999999939,0,15109
1666879825.5069175,18258690,7187,11.71875,11.71875,905,2520,1,30,30.922399999999996,1.0879999999999939,0,14853
1666879825.5386424,18258690,7188,11.71875,11.71875,908,2520,1,29,30.922399999999996,1.0879999999999939,0,15621
1666879825.5874927,18258690,7189,11.71875,11.71875,907,2520,3,28,30.922399999999996,1.0879999999999939,0,15877
1666879825.6185257,18258690,7190,11.71875,11.71875,906,2520,1,30,30.922399999999996,1.0879999999999939,0,15877
1666879825.6664016,18258690,7191,11.71875,11.71875,909,2520,3,28,30.922399999999996,1.0879999999999939,0,16901
1666879825.7142737,18258690,7192,11.71875,11.71875,906,2520,3,28,30.922399999999996,1.0879999999999939,0,16389
1666879825.7462153,18258690,7193,11.71875,11.71875,904,2520,1,31,30.922399999999996,1.0879999999999939,0,16389
1666879825.794087,18258690,7194,11.71875,11.71875,908,2520,1,27,30.922399999999996,1.0879999999999939,0,16645
1666879825.8260045,18258690,7195,11.71875,11.71875,904,2520,4,29,30.922399999999996,1.0879999999999939,0,17157
1666879825.8738732,18258690,7196,11.71875,11.71875,905,2520,1,29,30.922399999999996,1.0879999999999939,0,16901
1666879825.9057686,18258690,7197,11.71875,11.71875,907,2520,1,28,30.922399999999996,1.0879999999999939,0,17413
1666879825.953759,18258690,7198,11.71875,11.71875,904,2520,1,29,30.922399999999996,1.0879999999999939,0,17157
1666879825.986254,18258690,7199,11.71875,11.71875,902,2520,1,30,30.922399999999996,1.0879999999999939,0,17157
1666879826.0343091,18258690,7200,11.71875,11.71875,907,2520,1,27,30.922399999999996,1.0879999999999939,0,17925
1666879826.0654528,18258690,7201,11.71875,11.71875,903,2520,1,28,30.922399999999996,1.0879999999999939,0,17413
